,Asian Population (Standardised),Proportion of Asian Population (Standardised),Total (Standardised),AAHC rate per Asian capita in % (Standardised)
0,0.007163792171542704,0.02620748535451192,0.06089312532725806,0.07089570922062464
1,0.04099119280866428,0.07770798747052764,0.16733257666650744,0.05516865170581427
2,1.0,0.40105222264857293,1.0,0.054779756620599175
3,0.031513347188476065,0.07390544913288492,0.13190944186197423,0.13686629298407865
4,0.02700963053629143,0.1101402006823789,0.07617575211055899,0.06295460885791207
5,0.00415374568480203,0.1123962523165453,0.0011946992048827891,0.11498927543482763
6,0.1045440776668997,0.06095246658668303,0.5372163919888615,0.009577477732534588
7,0.0,0.0,0.011341980821977118,1.0
8,0.004799390290354145,0.02752685401598612,0.03790820067881992,0.10190408456562529
9,0.25950503541913506,0.12816400382864668,0.7328016714476403,0.02176583749899615
10,0.11884467788273982,0.2389864329651042,0.18157031728329287,0.1392012036858934
11,0.08779746503869014,1.0,0.020881628777020145,0.02098089782496705
12,0.0030498645281636133,0.019019243755527663,0.030750083827940894,0.14622583358200797
13,0.12283997408865635,0.14055303975064146,0.3128778845565974,0.0066999915405521904
14,0.026269870560103277,0.04687829533939785,0.15792333058731803,0.014997474416838723
15,0.012829471668887647,0.05952702152132226,0.05899972711247825,0.08720719321038381
16,0.010880197550137414,0.024299554301616844,0.099312109536753,0.10267361206086073
17,0.012856620333494197,0.029893403760665065,0.10321802108674434,0.03853238054698616
18,0.08220845995168855,0.17711821943410097,0.16420660819733135,0.0973152038718548
19,0.0678953548963933,0.16585283176642218,0.14228374409495725,0.0
20,0.0013982384959179103,0.012817747143996909,0.01849284741083116,0.7385823997079932
21,0.05363917976809117,0.06996727212654925,0.24255607627748718,0.015118252969879245
22,0.047862273014540005,0.12276517601511691,0.13018120564452954,0.11612310016653118
23,0.020579839533293065,0.038426456155889216,0.14171012496006571,0.05289228030366878
24,0.004016192450795514,0.009295784979037824,0.05960131888950873,0.2463224382534045
25,0.007346757717254721,0.053027094986497124,0.03389695464827411,0.22750719114483484
26,0.05507904621640579,0.06911113148859385,0.2518646157029466,0.014478601245228572
27,0.004536459587073748,0.05040863323947314,0.01888287037153685,0.22373161423740615
28,0.15495964145334534,0.25945078988209996,0.22228781452575086,0.2106180079646034
29,0.04350417192706322,0.21984939965227637,0.06328648309997345,0.09762986662626492
30,0.31670595544624425,0.2413879472232505,0.50284351677199,0.05508773011479566
31,0.047750223071527514,0.0483754142656926,0.28683196098556873,0.06024731427826841
32,0.030643109084815226,0.10489260427261031,0.09240687771168156,0.054678045347242146
33,0.08263082735802195,0.08665882510433923,0.3177677492199155,0.05572473784280413
34,0.020948074147774623,0.03281528711433957,0.1611451207819094,0.08276113536216995
35,0.011869396165983316,0.04642340562468025,0.06758012940740729,0.042149278359031206
36,0.09989655536098098,0.17451029921312616,0.20538079481691623,0.024094685682962212
37,0.0005345818867071417,0.028251333484014006,0.0,0.3529594314675158
38,0.02754388334827607,0.06074991284728419,0.13499476258554216,0.061607191897147084
